,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,isNewBuilt,hasStormProtector,hasStorageRoom,hasGuestRoom,price
42,84559,29,0,1,69,53057,1,0,1,8,8460604.0
43,28749,39,0,1,53,80821,1,0,1,3,2877997.6
44,76091,38,1,0,32,59451,1,0,0,7,7614076.6
45,92696,49,1,0,38,74381,0,0,1,2,9272740.1
46,46988,66,1,1,27,4863,1,1,1,4,4707341.1
47,48062,22,0,1,4,28104,1,0,1,1,4809993.8
48,5767,97,1,1,11,44551,1,0,1,4,586742.8
49,59800,47,0,1,27,44815,0,0,0,4,5984462.1
50,54836,25,0,1,53,64601,1,0,1,6,5492532.0
51,54318,10,1,1,52,76737,1,1,1,1,5444967.8
52,70021,52,1,0,28,95678,0,1,1,1,7005572.2
53,54368,11,1,1,20,55761,0,0,0,8,5446398.1
54,31421,29,0,1,68,67505,1,1,0,5,3147829.9
55,63053,6,1,1,28,45312,0,1,1,8,6315375.7
56,4187,89,0,1,17,7488,1,0,1,2,421906.4
57,33108,82,0,1,83,52015,1,0,1,2,3316069.6
58,64393,8,0,0,51,95335,1,0,0,6,6441378.0
59,93876,60,0,1,70,5484,1,1,1,8,9390891.9
60,67040,60,1,1,22,1690,1,0,0,0,6714247.3
61,47938,17,0,0,68,64247,0,1,1,8,4797883.3
62,39090,57,1,0,74,2922,0,0,1,6,3917691.0
63,43609,66,0,0,55,6739,0,1,1,7,4364910.5
64,41998,74,1,0,17,32039,1,0,0,9,4203344.0
65,36496,9,0,1,47,51526,0,1,1,0,3656368.7
66,84016,15,1,0,55,63595,1,0,0,2,8410054.6
67,3087,27,1,1,94,9283,1,1,1,1,321717.5
68,89768,48,1,1,17,71000,0,1,0,7,8980518.3
69,30226,74,1,1,87,71053,0,0,0,4,3039243.7
70,58478,5,0,1,35,5898,0,0,1,7,5853710.6
71,66621,48,0,0,89,52165,1,1,1,4,6666403.5
72,73314,43,0,1,38,49895,0,1,0,8,7336538.8
73,59972,28,0,1,18,32083,1,1,1,4,6000826.1
74,71591,20,1,0,58,46834,0,0,0,0,7165980.8
75,92462,52,1,1,46,22405,1,0,0,8,9257840.9
76,52325,60,1,1,24,76804,1,0,1,4,5238533.2
77,67311,67,0,0,10,45626,1,1,1,5,6732249.0
78,45050,99,0,1,87,20318,1,0,0,3,4508695.3
79,61534,73,1,0,97,22943,0,0,1,6,6159875.1
80,84091,50,0,1,72,22718,0,0,0,8,8414104.3
81,77579,69,1,1,97,88798,1,0,1,8,7767797.9
82,25204,31,1,1,37,87552,1,0,0,6,2530488.0
83,42059,46,0,1,62,43289,1,1,1,3,4212125.7
84,38430,43,0,1,51,3406,0,1,0,8,3846214.1
85,7069,4,0,0,89,55300,1,1,1,3,709107.9
86,34780,75,0,1,9,67297,0,1,1,4,3480536.9
87,12757,100,1,0,7,19550,1,1,0,5,1277834.0
88,33749,74,0,1,38,73976,1,1,1,2,3380855.9
89,600,37,1,0,43,72736,1,0,0,1,63402.1
90,7239,61,1,0,83,26435,1,0,0,4,733776.4
91,34919,20,1,1,84,60113,0,0,0,2,3499532.7
92,25614,29,0,0,27,52970,1,0,1,9,2563970.4
93,51434,64,0,0,23,79754,1,1,0,7,5146226.2
94,78960,55,0,1,76,23408,1,1,1,0,7900996.5
95,70751,64,1,1,41,92268,1,0,1,7,7084110.6
96,81870,60,0,1,100,58048,0,0,1,3,8198185.0
97,91559,36,0,1,21,82521,0,1,1,8,9161130.7
98,72098,9,0,1,67,91168,1,0,1,9,7216904.4
99,23177,19,0,0,52,69373,0,0,1,6,2318776.3
100,39517,92,0,0,85,51212,0,1,1,9,3953491.9
101,55232,23,0,0,8,849,0,0,0,6,5524015.1
102,53735,49,0,1,92,2423,0,0,1,8,5384554.6
103,67753,72,1,1,78,31721,1,1,0,6,6789580.5
104,1450,59,0,0,1,2317,1,1,1,10,146181.8
105,82141,93,1,1,61,74213,1,1,1,4,8225970.9
106,17868,73,1,0,35,48674,0,0,1,2,1792308.3
107,71397,71,0,0,93,68199,1,1,0,2,7145471.5
108,32623,35,0,1,14,80204,1,0,0,8,3267852.3
109,23841,71,1,1,25,32106,1,1,1,1,2390804.0
110,16495,94,0,0,6,90448,1,1,1,7,1650711.1
111,39109,24,1,0,67,74477,1,0,0,9,3917652.2
112,65151,81,1,1,3,66191,0,0,0,4,6522781.1
113,61484,91,1,0,94,87015,1,0,0,3,6154833.3
114,57160,15,1,1,43,40786,0,0,1,2,5724102.2
115,13346,57,0,0,57,30010,1,1,0,8,1336414.1
116,27351,77,0,0,36,98465,1,1,1,0,2738851.7
117,18466,50,0,1,60,89670,0,0,0,5,1849227.0
118,45441,29,1,0,66,21239,0,1,0,6,4552319.4
119,55933,15,0,0,97,5800,1,1,1,6,5599976.1
120,81936,68,0,0,92,6143,1,0,0,0,8198107.1
121,18237,70,1,0,74,25093,0,0,1,9,1833338.1
122,35631,54,1,0,7,77355,1,1,1,10,3568002.8
123,99683,12,1,0,77,18300,0,1,1,6,9977000.2
124,47664,44,0,0,77,98008,1,1,0,6,4770073.0
125,62887,45,0,1,7,91125,1,0,0,4,6293710.3
126,18470,20,1,1,73,9406,1,0,1,6,1852115.0
127,36031,63,1,0,47,74698,0,1,0,4,3612495.1
128,22776,84,0,0,5,82401,0,1,1,7,2278599.3
129,14830,81,1,0,1,17641,1,0,0,9,1487488.2
130,43944,40,1,0,69,5581,0,1,1,6,4403326.2
131,73062,34,1,1,38,44770,0,0,1,0,7313447.6
132,84284,76,0,0,39,55723,0,0,0,6,8432554.8
133,9619,66,1,0,91,82543,0,1,0,10,969806.1
134,11410,96,0,1,96,85454,0,1,1,1,1150663.9
135,29855,63,0,0,23,78080,0,1,0,6,2987645.0
136,46716,94,0,0,58,25303,0,1,0,3,4674140.8
137,77046,69,1,0,85,43517,0,1,0,3,7714235.2
138,58855,1,0,0,66,20127,0,1,0,3,5892518.4
139,69165,66,1,0,74,51371,1,1,1,9,6926290.9
140,57915,25,0,1,84,87517,1,1,0,5,5800324.7
141,66279,47,1,0,9,21934,0,1,0,10,6631365.3
142,16068,21,1,0,13,21716,1,1,0,2,1611707.1
143,74325,50,1,1,58,91978,0,1,0,5,7443433.4
144,35742,46,1,1,47,84138,1,1,0,7,3581003.4
145,9026,51,1,0,28,85842,1,0,0,10,904797.0
146,16899,19,0,1,14,47328,0,1,1,7,1693690.0
147,99854,82,0,0,64,82741,0,1,0,7,9989598.9
148,33743,56,1,1,29,21945,0,1,0,6,3382812.6
149,72798,22,1,1,30,61212,0,0,0,7,7290431.7
150,86492,21,0,0,86,42450,1,0,0,0,8654049.2
151,38937,35,0,1,77,2867,1,1,0,1,3901433.3
152,24762,22,0,1,62,50367,1,1,1,1,2480900.9
153,91047,45,0,0,65,41065,0,0,1,1,9109264.9
154,55527,64,0,1,44,61931,0,1,1,9,5557814.5
155,70606,17,1,1,79,38,1,0,0,5,7070662.7
156,67327,47,0,0,87,26709,0,1,0,10,6741466.0
157,6125,90,0,1,29,95979,1,1,0,10,615143.2
158,71833,37,0,1,51,58147,0,0,1,6,7185318.3
159,20811,98,1,1,71,91543,0,1,0,3,2090690.5
160,7643,98,0,0,63,5989,1,0,1,7,765618.9
161,16669,95,1,1,81,15949,0,1,1,1,1676719.7
162,84006,73,1,1,97,54296,1,0,0,4,8409827.0
163,34059,49,0,0,90,63489,0,1,0,2,3412619.3
164,36131,95,0,0,88,72385,1,0,0,8,3620939.1
165,8201,18,1,1,66,38920,0,0,1,6,826967.7
166,38398,84,0,0,22,44513,1,0,0,8,3842545.4
167,38833,10,0,0,14,28075,1,1,1,8,3884619.4
168,41488,22,0,0,59,2019,0,1,0,3,4151539.3
169,5205,2,0,0,15,71289,0,0,0,0,521650.5
170,45066,28,0,0,62,85825,0,0,1,0,4508367.3
171,63875,53,1,1,14,54408,1,0,0,6,6394774.9
172,25052,88,0,0,94,1083,0,1,0,10,2515214.0
173,51457,64,0,1,32,68294,0,0,1,4,5150600.6
174,84396,64,0,0,96,88421,1,1,1,2,8449333.5
175,64920,98,0,1,63,1173,1,0,1,6,6501809.6
176,9166,4,1,0,16,26610,1,1,1,8,922847.5
177,85558,48,1,0,83,55318,0,1,1,0,8568781.7
178,87267,75,1,0,81,57714,0,0,1,4,8731940.9
179,96091,100,0,1,24,99874,0,0,0,6,9615021.9
180,38003,98,1,0,6,49191,0,0,0,2,3803545.8
181,83120,97,0,1,68,93953,0,1,0,1,8318749.5
182,20468,100,1,0,34,63924,0,1,0,0,2049846.3
183,75152,91,1,0,37,61836,1,0,0,2,7518709.8
184,32688,9,1,1,18,86166,0,1,1,7,3274057.3
185,45868,72,1,1,69,33082,1,1,0,10,4600708.4
186,73900,69,0,1,36,57473,0,0,1,4,7394635.8
187,16000,41,1,1,25,86898,0,1,0,6,1606948.7
188,1423,59,0,1,30,21687,1,1,0,8,149234.3
189,29951,37,1,1,13,56604,1,1,0,0,3002371.5
190,40231,84,0,1,41,64474,0,0,1,0,4030226.9
191,59517,38,1,0,69,93928,1,0,1,6,5958698.3
192,98969,26,1,0,69,36941,0,0,1,5,9902968.3
193,99177,49,0,0,41,5100,1,1,1,3,9919217.1
194,89157,46,0,0,42,34482,0,1,1,4,8920282.9
195,67429,60,0,1,24,89820,1,0,1,1,6749654.1
196,38431,57,1,0,60,69199,1,0,0,8,3848467.0
197,72495,76,1,1,59,8723,1,0,1,0,7259025.4
198,85362,77,1,0,19,40604,0,0,1,4,8541211.7
199,28597,93,0,0,47,16237,0,0,0,8,2863386.0
200,13687,36,1,1,93,2400,1,1,0,5,1376329.1
201,50479,3,0,1,73,39939,0,0,0,5,5057657.0
202,98121,38,0,1,57,20289,0,1,0,2,9817494.5
203,57736,16,0,0,21,83855,0,1,0,2,5775940.9
204,30356,40,0,0,85,13378,0,0,0,8,3039209.2
205,21141,38,0,1,80,65184,1,1,1,10,2126023.8
206,98122,34,0,0,7,80176,0,1,1,5,9813433.9
207,34746,12,1,0,15,57668,0,0,0,4,3478332.0
208,17297,43,1,1,19,99289,1,1,1,2,1738971.2
209,80324,47,1,1,7,20394,1,1,0,9,8039714.3
210,15815,13,1,1,2,2179,1,0,0,4,1585031.9
211,1066,5,1,1,46,65388,0,1,1,5,114605.7
212,79275,95,0,1,67,13000,0,1,1,3,7930383.5
213,20658,7,1,1,48,80216,0,0,1,10,2076936.7
214,8687,88,0,1,64,2052,1,1,1,3,877525.3
215,69638,42,1,1,63,89878,1,0,1,6,6977654.1
216,94036,18,0,0,19,79418,1,1,0,10,9406163.1
217,60889,72,0,0,87,55928,1,0,0,7,6091341.8
218,11680,21,0,0,14,5324,1,0,1,6,1169431.2
219,11458,96,1,1,31,95286,1,0,0,6,1154040.0
220,20397,67,0,0,79,29406,0,0,1,3,2042985.7
221,83206,34,1,0,51,27565,1,0,0,9,8326302.9
222,8951,11,1,0,63,32412,1,0,0,1,904889.7
223,22854,41,1,0,89,74420,0,1,1,0,2292467.1
224,46042,52,0,0,74,45861,1,0,0,5,4605791.5
225,93506,20,1,0,28,7068,1,0,1,8,9356982.7
226,58748,76,0,0,40,20761,0,1,0,2,5875981.0
227,715,71,0,0,23,33439,0,1,1,8,74252.0
228,55327,22,1,0,59,76622,1,1,1,8,5540589.3
229,63631,84,1,0,12,31269,0,0,1,4,6369055.0
230,77915,99,0,0,21,63942,0,1,0,4,7793915.8
231,91804,5,0,0,81,87339,0,1,1,8,9182083.9
232,57295,95,0,0,69,32081,1,1,1,7,5731510.4
233,61057,65,1,0,77,17051,1,0,1,6,6114671.8
234,91626,83,1,0,55,59173,1,1,1,8,9169068.1
235,29356,96,1,1,46,4864,1,1,1,3,2948071.0
236,27134,62,1,0,2,1498,0,0,1,3,2715604.3
237,1682,65,1,0,79,7602,0,1,1,4,174918.7
238,98868,41,0,1,67,85917,1,1,1,3,9892300.1
239,23898,62,1,0,93,73176,0,1,0,1,2399286.6
240,83110,43,1,0,75,55046,1,0,1,7,8321631.1
241,71154,67,0,1,53,8762,1,1,0,8,7122699.1
242,90841,48,1,0,15,25300,0,0,0,9,9086177.3
243,68416,87,1,0,48,60979,0,0,0,6,6846709.0
244,47585,95,0,0,5,81532,1,1,0,0,4759724.3
245,28452,79,1,0,40,79918,1,1,1,2,2850377.6
246,15630,78,1,0,4,98750,1,0,1,0,1565985.6
247,65900,36,1,1,99,27819,0,1,0,1,6605894.7
248,21600,94,1,0,56,85215,0,1,1,3,2166421.0
249,74704,31,0,0,22,93675,1,0,0,9,7472587.2
250,87291,78,1,1,42,5950,0,1,1,2,8739254.7
251,96687,65,0,1,81,70871,0,1,1,6,9673884.2
252,60567,65,1,1,100,39919,1,0,1,0,6071330.9
253,4872,41,0,0,74,79028,1,0,0,6,489455.0
254,9157,48,1,0,53,6500,0,0,0,8,922102.9
255,65217,26,1,1,39,96357,0,1,0,10,6531999.9
256,87346,56,1,1,82,34773,0,1,1,4,8743241.0
257,47701,26,1,0,46,73572,1,0,0,3,4773352.1
258,14766,50,0,1,79,36865,0,0,0,4,1488265.1
259,94841,19,1,1,75,11526,1,1,1,6,9498026.8
260,59318,92,0,0,91,68354,0,0,1,5,5939275.2
261,1796,28,0,0,4,66676,0,1,0,4,180265.7
262,96526,36,1,1,34,61875,0,1,1,0,9661068.0
263,62876,36,0,0,9,90089,0,0,1,4,6288117.6
264,59558,43,1,1,89,79779,0,0,1,5,5967916.2
265,97008,89,0,1,4,11466,1,1,1,0,9703551.4
266,66746,6,1,0,10,22139,0,0,1,3,6678869.7
267,25776,36,0,0,93,4777,0,0,1,10,2582235.2
268,96195,97,0,1,64,91809,1,1,0,3,9626665.8
269,4805,47,1,1,99,48026,0,1,1,0,486824.5
270,23045,21,1,0,75,72570,0,1,0,0,2312202.0
271,95441,70,0,1,65,3574,1,1,1,3,9554998.7
272,28381,34,1,0,64,44973,1,0,1,2,2847241.9
273,15731,34,1,1,37,93825,0,1,0,5,1582940.3
274,18966,58,1,0,25,4414,1,1,0,0,1902151.9
275,24393,46,1,1,16,18507,0,0,1,2,2449464.9
276,53339,67,0,0,11,6144,1,0,0,3,5335546.3
277,44053,17,1,0,55,70068,1,0,0,3,4413295.4
278,70898,98,0,0,92,51635,0,0,1,3,7091863.4
279,84483,41,1,0,85,28464,1,0,1,6,8452134.9
280,35716,24,1,0,52,77207,1,1,0,10,3574932.3
281,64693,64,0,0,81,90290,0,0,0,7,6471378.3
282,32593,40,1,0,94,89328,0,0,1,2,3265750.6
283,1607,63,1,1,52,32832,1,0,0,7,173112.0
284,39484,74,0,1,30,6688,1,0,1,9,3954971.1
285,32458,28,1,1,20,47125,0,0,1,7,3253846.5
286,72243,64,0,1,23,34837,1,1,1,3,7229477.4
287,20624,44,1,0,83,50284,0,0,0,4,2070369.6
288,7443,38,1,0,41,4785,0,0,0,1,748338.5
289,78382,41,0,0,14,58781,1,1,1,6,7840062.0
290,70614,15,1,1,100,61317,1,1,0,2,7075926.0
291,32235,59,1,0,10,76786,1,0,0,10,3225143.6
292,2523,12,1,1,67,75753,1,1,1,1,260710.5
293,87864,55,0,0,77,48421,1,1,0,9,8790481.9
294,18316,97,0,0,3,68804,1,0,1,9,1832673.1
295,94471,30,1,1,79,55210,0,1,0,3,9454072.1
296,60704,96,1,1,29,18856,0,0,1,2,6080655.4
297,54020,4,1,0,64,58230,0,0,1,4,5406334.3
298,59612,37,1,0,56,69063,1,1,1,2,5967739.7
299,56467,63,0,0,41,28576,1,0,0,0,5649094.0
300,65625,55,0,1,36,89469,0,1,1,10,6567597.5
301,41570,76,0,1,98,21758,1,1,1,10,4167932.4
302,44862,99,0,1,68,58122,0,0,0,3,4493882.2
303,47212,37,1,1,81,4826,0,0,0,9,4734236.1
304,2840,17,1,0,26,94918,1,0,1,10,288797.4
305,40465,85,0,0,100,6023,0,0,1,0,4052600.4
306,17191,80,1,1,29,49538,1,0,1,9,1728829.5
307,56480,85,1,0,80,21192,0,0,0,1,5653048.6
308,70503,78,0,0,29,72210,1,0,0,4,7051701.1
309,4885,100,0,0,54,79559,0,0,0,6,493693.3
310,58263,65,1,1,57,39046,0,1,1,3,5840294.6
311,47647,52,0,1,6,24285,1,1,1,10,4768169.2
312,57916,51,0,0,24,8801,0,1,1,1,5792783.8
313,6396,71,0,0,40,28917,1,0,0,9,643620.5
314,41972,18,0,1,49,40098,1,0,0,0,4206464.5
315,94311,11,1,0,47,89062,0,1,0,7,9439790.7
316,10714,41,0,1,98,23803,0,1,1,6,1075982.6
317,11259,26,0,1,82,34780,1,0,1,7,1134964.0
318,3534,16,1,1,13,39998,0,1,0,0,359850.3
319,52680,10,0,1,79,10177,0,1,0,0,5274696.1
320,62711,60,0,0,29,42211,0,1,0,6,6272944.7
321,19268,12,1,0,77,38471,1,0,1,3,1938014.0
322,36119,39,1,0,46,16503,0,1,1,3,3620813.9
323,28394,53,0,0,7,81916,0,1,0,2,2840816.3
324,20392,33,1,0,84,53104,0,1,1,2,2046763.7
325,7259,25,1,1,39,860,0,0,0,5,735079.4
326,28183,81,0,0,52,44087,1,1,1,10,2821593.3
327,92188,14,0,1,95,5286,1,1,0,0,9227140.6
328,29815,28,0,0,77,46462,0,1,0,0,2989048.5
329,50219,96,1,0,54,23667,0,1,1,0,5025975.3
330,1722,56,0,1,84,27948,1,0,1,2,182838.2
331,70399,14,0,1,85,82950,0,1,0,4,7048784.3
332,28790,52,1,0,15,13856,1,1,0,4,2883447.1
333,92962,7,1,1,37,32437,1,0,0,3,9304587.0
334,34245,2,1,0,85,50891,1,1,1,5,3430728.0
335,54677,64,1,1,94,77132,1,0,1,2,5477618.6
336,74227,84,1,0,5,98736,1,0,0,5,7427853.0
337,94939,46,1,1,48,55155,1,0,1,7,9503765.9
338,48884,58,1,0,32,15276,1,0,0,9,4895277.0
339,10638,39,0,0,33,64229,0,1,1,10,1066200.6
340,90315,61,1,1,91,21653,1,1,1,7,9044477.4
341,17633,28,0,0,83,83228,1,0,1,2,1767487.3
342,63242,45,0,1,18,63066,0,1,1,1,6327623.7
343,79344,46,1,1,42,19012,1,0,1,7,7945562.1
344,72093,48,0,1,92,83520,1,0,0,9,7223902.5
345,13378,59,1,0,9,2735,1,1,0,7,1342476.1
346,47019,35,0,1,9,60947,0,0,1,6,4706162.0
347,34666,75,1,1,14,28826,1,1,1,6,3477313.2
348,93509,28,1,1,62,48468,1,1,1,6,9361261.2
349,13583,42,1,0,32,42009,1,1,0,10,1364589.5
350,19649,11,0,1,83,87255,1,0,1,2,1970018.9
351,141,16,0,1,58,42248,1,0,0,4,22670.7
352,22821,64,1,1,14,66304,1,1,1,2,2289134.3
353,533,76,1,1,55,94923,1,1,0,9,65465.1
354,67020,71,1,1,38,64361,0,0,0,1,6711051.5
355,49094,30,1,0,49,90656,0,1,1,8,4916616.1
356,25269,88,0,0,92,86720,1,1,1,1,2530193.9
357,71989,41,0,0,77,50519,0,0,1,4,7204744.3
358,73180,1,1,1,54,38386,0,0,1,10,7325717.1
359,18926,58,1,1,84,32618,1,0,1,8,1908217.8
360,6492,76,0,0,88,81044,1,0,0,9,652565.8
361,98045,4,1,1,8,78526,0,0,1,0,9814193.2
362,51589,83,0,1,43,55528,1,0,1,5,5167451.8
363,24390,75,1,0,44,70527,0,0,0,1,2446317.2
364,75890,10,0,1,59,33129,0,1,0,8,7597786.1
365,29220,9,0,1,59,33789,1,0,0,0,2929116.4
366,72433,57,1,1,18,69864,0,0,1,0,7250644.1
367,57467,98,0,0,64,24393,0,0,1,2,5749361.3
368,81482,76,1,0,9,56103,0,0,0,6,8153070.7
369,61346,69,0,1,52,63238,0,1,1,10,6141452.9
370,80915,23,1,1,67,46095,1,1,0,0,8104297.2
371,65479,74,0,1,35,99953,0,1,0,10,6552454.0
372,48302,22,1,0,13,82376,0,0,1,1,4833604.7
373,76690,21,1,1,99,91395,1,1,1,8,7682267.0
374,14447,39,0,1,23,93847,0,0,0,6,1448447.2
375,24213,31,1,1,93,51767,1,0,0,5,2431969.4
376,1843,30,1,1,3,3,1,1,0,5,189919.7
377,78183,65,1,1,86,3648,0,1,1,4,7829898.7
378,99323,35,0,1,28,69665,0,0,1,3,9939399.8
379,67491,21,0,0,57,5308,1,0,1,0,6750826.7
380,2588,82,1,0,69,25395,0,0,0,8,267798.6
381,76635,6,1,1,1,73981,0,0,1,1,7669791.9
382,45070,100,0,0,92,21335,1,0,1,0,4510977.7
383,62381,58,1,0,44,22862,1,0,1,6,6243323.3
384,98543,2,1,0,44,88249,0,1,0,7,9860222.2
385,13972,39,0,0,8,91674,0,0,1,2,1397748.9
386,71567,70,0,1,94,64245,0,0,0,4,7166917.2
387,36804,99,0,0,12,76338,0,0,1,6,3681839.6
388,21297,71,1,1,14,75154,1,1,0,4,2136801.5
389,9950,1,1,0,69,79019,0,1,0,4,1000736.2
390,3661,50,1,1,24,1138,1,0,0,7,372556.7
391,88102,51,1,0,70,42082,1,0,1,9,8821018.6
392,72596,91,0,0,90,32957,1,0,1,0,7262781.5
393,70763,4,1,0,38,18220,1,0,0,9,7082373.5
394,12002,58,0,0,41,2764,1,0,1,1,1203664.5
395,26146,34,0,1,98,431,1,1,1,7,2627462.1
396,13716,62,0,1,98,61202,0,1,0,10,1382883.0
397,23281,32,1,1,52,87667,1,1,1,3,2339782.0
398,3824,45,1,1,9,11597,0,1,0,0,386574.9
399,56086,3,1,0,46,52007,0,1,0,1,5615576.1
400,19014,67,1,0,89,82387,0,0,0,6,1912984.9
401,80808,59,1,0,1,18733,0,0,0,5,8085990.4
402,83602,5,0,1,2,48528,1,0,1,5,8365162.1
403,99767,27,0,1,79,46530,1,0,1,2,9985836.8
404,60675,32,1,0,51,97066,1,0,0,6,6075733.2
405,20210,2,1,0,78,77066,1,0,0,4,2029228.7
406,28694,82,0,0,20,44298,1,1,1,3,2870499.1
407,45521,53,0,0,32,26627,1,1,0,7,4554205.1
408,55727,46,0,0,77,94339,0,0,0,2,5574845.6
409,17307,20,1,0,66,81794,1,1,0,2,1740869.6
410,86474,98,0,0,33,50147,0,0,0,7,8649993.4
411,6012,53,1,0,38,96011,1,0,0,4,607323.3
412,6617,51,0,0,38,26766,1,1,0,10,663333.0
413,34061,43,0,0,90,26346,0,0,1,9,3407529.3
414,12881,12,1,0,68,85503,0,1,1,0,1293712.6
415,48458,82,1,0,72,98206,1,1,0,6,4851198.2
416,89618,49,1,0,36,30029,0,1,1,0,8969519.6
417,10369,30,1,0,68,51049,0,0,0,10,1044857.9
418,21865,24,0,1,79,50297,0,0,1,3,2191960.3
419,30817,48,0,0,63,26230,0,0,1,3,3086005.3
420,8808,85,1,0,37,93756,1,1,0,5,888730.8
421,16006,69,1,1,26,6423,1,0,1,3,1610901.0
422,70517,37,0,0,1,67679,0,1,1,5,7052408.2
423,55592,68,0,1,10,80811,0,0,1,0,5564877.1
424,10978,17,0,1,55,25000,0,1,1,6,1103882.5
425,94388,7,1,0,81,41690,1,0,0,8,9446167.6
426,18041,90,1,0,99,90750,1,0,1,3,1817658.6
427,18220,91,0,1,97,50508,1,0,1,2,1833031.3
428,39342,7,1,1,84,88712,0,1,1,2,3946165.4
429,66570,59,0,0,2,85412,1,1,1,6,6657976.8
430,34592,100,0,1,33,63748,1,0,1,5,3465076.4
431,38700,25,1,1,26,101,0,1,1,8,3880396.6
432,32060,25,0,1,97,43201,0,1,0,8,3211741.7
433,8305,86,0,0,83,36778,0,1,0,4,838488.1
434,40080,50,0,0,82,11062,0,0,0,0,4011225.8
435,89335,66,1,1,54,25219,0,1,0,8,8938823.4
436,78546,92,0,1,84,52906,0,1,1,4,7864949.1
437,50066,63,0,1,67,81340,0,1,0,1,5015729.8
438,37008,61,1,1,75,13250,1,0,0,7,3708694.3
439,32876,98,1,1,32,48832,1,1,0,8,3299047.8
440,98266,14,1,1,42,27552,1,1,0,9,9838529.0
441,53665,66,1,1,81,16527,1,0,1,8,5379979.2
442,33469,98,1,1,91,29874,0,0,0,8,3362757.6
443,42578,49,1,1,23,3339,1,0,1,6,4264812.3
444,64329,25,1,0,44,54901,0,1,1,5,6436473.9
445,29512,96,0,1,26,49748,1,1,0,9,2955396.2
446,241,78,0,1,50,86182,0,1,0,7,29643.3
447,32709,47,1,1,80,86465,0,1,0,5,3284181.6
448,29271,70,0,1,98,33402,1,1,0,6,2938810.1
449,15542,19,0,0,27,48610,0,0,0,5,1556824.6
450,94951,52,0,1,80,45083,1,1,1,3,9498811.4
451,12296,54,1,0,45,44308,1,1,1,0,1233872.8
452,42390,17,0,0,96,16776,0,0,1,0,4245306.1
453,2157,22,0,0,93,68218,0,0,0,9,222104.1
454,70576,66,1,0,7,75420,0,0,1,9,7061024.3
455,22232,24,0,1,52,20211,1,1,1,8,2230267.5
456,31368,78,1,0,86,96715,1,1,1,0,3142605.7
457,2713,76,0,0,19,66674,1,1,1,1,273858.0
458,40939,60,1,0,6,67333,0,1,0,8,4097363.7
459,84892,59,0,0,46,1488,0,1,1,3,8492982.7
460,43332,60,0,1,24,16226,0,1,0,4,4336691.2
461,39445,100,0,0,66,31733,1,1,0,10,3947777.0
462,82032,78,1,0,64,11922,0,0,1,8,8209534.4
463,813,45,0,1,15,52891,1,0,0,7,84647.8
